;dokumen uji;precision;recall;fmeasure
1;dokumen 1;0,375;0,375;0,375
2;dokumen 2;0,5;0,5;0,5
3;dokumen 3;0,166666667;0,166666667;0,166666667
4;dokumen 4;0,142857143;0,142857143;0,142857143
5;dokumen 5;0,545454545;0,545454545;0,545454545
6;dokumen 6;0,166666667;0,166666667;0,166666667
7;dokumen 7;0,571428571;0,571428571;0,571428571
8;dokumen 8;0,428571429;0,428571429;0,428571429
9;dokumen 9;0,375;0,375;0,375
10;dokumen 10;0,416666667;0,416666667;0,416666667
;Rata-rata;0,368831169;0,368831169;0,368831169
