;dokumen uji;precision;recall;fmeasure
0;dokumen 1;0,375;0,375;0,375
1;dokumen 2;0,5;0,5;0,5
2;dokumen 3;0,333333333;0,333333333;0,333333333
3;dokumen 4;0,142857143;0,142857143;0,142857143
4;dokumen 5;0,545454545;0,545454545;0,545454545
5;dokumen 6;0,333333333;0,333333333;0,333333333
6;dokumen 7;0,571428571;0,571428571;0,571428571
7;dokumen 8;0,428571429;0,428571429;0,428571429
8;dokumen 9;0,5;0,5;0,5
9;dokumen 10;0,416666667;0,416666667;0,416666667
;rata-rata;0,414664502;0,414664502;0,414664502
