dokumen,0.05,0.1,0.2,0.3
Banjir Bengkulu: Dianggap terparah hingga tudingan 'akibat tambang dan sawit'.,no,no,no,no
Kerusakan lingkungan disebut Badan Nasional Penanggulangan Bencana (BNPB) sebagai salah satu pemicu banjir dan longsor di Bengkulu.,yes,yes,yes,yes
Bencana alam yang terjadi saat ini dianggap sebagai yang terburuk di Bengkulu dalam belasan tahun terakhir.,no,no,no,no
"Walau terdapat fakta pembukaan pertambangan batu bara dan perkebunan kelapa sawit di beberapa titik di provinsi itu, sejumlah kalangan menyangkal aktivitas tersebut memicu banjir.",no,yes,yes,yes
"Sirajon, warga Desa Arga Mulya, Bengkulu Selatan, mengambil langkah seribu saat arus deras air masuk ke rumahnya yang berjarak 50 meter dari bibir sungai, akhir pekan lalu.",yes,yes,yes,yes
Banjir ini disebut Sirajon yang terbesar yang pernah melanda desanya.,no,no,no,no
"Menurutnya, kejadian ini berkaitan dengan perkebunan sawit yang belakangan di buka sekitar dua kilometer dari Arga Mulya.",no,no,no,no
"""Saya di desa ini sejak 2003.",no,no,no,no
"Sebelumnya pernah terjadi tahun 2012, tapi hanya menggenangi jalan,"" kata Sirajon saat dihubungi, Selasa (30/04).",no,no,no,no
"""Dampak hujan mungkin karena intensitas hujan tinggi, tapi di sini juga ada perkebunan sawit sehingga hutan untuk menghambat air sudah tidak seperti dulu lagi,"" tuturnya.",no,no,yes,yes
"Banjir ini juga menimpa Yessi Ameilia Safitri, warga kelurahan Tanjung Agung, yang berjarak sekitar 230 kilometer dari Arga Mulya.",no,no,no,yes
"Ia berkata, selama ini banjir tak pernah masuk ke rumahnya yang lebih tinggi ketimbang jalan raya.",no,no,no,no
"""Kalau rumah saya kena banjir, berarti kelurahan lain sudah pasti banjir total.",no,no,no,no
"Di ujung kompleks rumah saya air setinggi pinggang orang dewasa, tidak mungkin dilewati lagi.""",no,no,no,no
"""Saya sekeluarga mengungsi.",no,no,no,no
"Yang bisa dilakukan cuma lari dari rumah dan membawa barang yang bisa ditarik,"" ucap Yessi.",no,no,no,no
"Menurut data BNPB, banjir melanda sembilan kabupaten di Bengkulu.",no,no,no,no
Setidaknya 29 orang meninggal dan 13 lainnya hilang akibat banjir yang disusul longsor.,no,no,no,no
Bencana ini berdampak bagi sekitar 13 ribu warga Bengkulu.,no,no,no,no
Sebanyak 12 ribu orang di antaranya terpaksa mengungsi.,no,no,no,no
"Juru bicara BNPB, Sutopo Purwo Nugroho, menyebut intensitas tinggi selama beberapa hari di Bengkulu tak setara dengan kapasitas sungai yang ada.",no,no,no,no
Namun ia menggarisbawahi pula kerusakan lingkungan di sekitar sungai yang memperburuk dampak hujan besar.,no,no,no,yes
"""Degradasi hutan, kerusakan lahan, degradasi daerah aliran sungai tinggi.",no,no,no,no
"Dipicu curah hujan maka terjadilah bencana yang masif,"" kata Sutopo dalam jumpa pers di Jakarta.",no,no,no,no
"""Di Bengkulu Tengah, dampak kerusakan lingkungan dan keruskaan hutan meningkat.",no,no,no,no
"Ada delapan titik yang akan mengubah bentang alam,"" tuturnya.",no,no,no,no
Sebelumnya Menteri Energi dan Sumber Daya Mineral Ignasius Jonan menyebut delapan izin tambang batu bara memang dikeluarkan pemerintah setempat beberapa tahun terakhir.,no,no,no,no
"Kantor berita Antara menyebut delapan pemegang izin batu bara di Bengkulu itu adalah PT Bengkulu Bio Energi, PT Kusuma Raya Utama, PT Bara Mega Quantum, PT Inti Bara Perdana.",no,no,yes,yes
"Empat perusahaan lainnya adalah PT Danau Mas Hitam, PT Ratu Samban Mining, PT Griya Pat Petulai, dan PT Cipta Buana Seraya.",no,no,no,no
Ada pula satu izin perkebunan kelapa sawit yang dikeluarkan untuk PT Agriandalas yang berada di daerah tangkapan air Sungai Bengkulu.,no,yes,yes,yes
"Di sisi lain, pejabat Kementerian Lingkungan Hidup dan Kehutanan (KLHK) menyangkal aktivitas beberapa perusahaan ini menurunkan kemampuan air tanah menyerap air hujan.",no,no,yes,yes
"""Posisi izin itu di hulu, tidak terkait langsung dengan sungai.",no,no,no,no
"Jadi banjir ini adalah limpasan, curah hujan melebihi kapasitas sungai,"" kata Kasubdit Monitoring dan Evaluasi DAS KLHK, Ernawati.",no,no,no,yes
"""Izin dikeluarkan jauh dari sungai.",no,no,no,no
"Kajian pada saat aliran air melimpah kami bedakan dengan analisis dampak lingkungannya,"" ujarnya di Jakarta.",no,no,no,no
"Bagaimanapun, dampak banjir dan longsor di Bengkulu masih terus dirasakan warga setempat, meski air berangsur surut.",no,no,yes,yes
"BNPB menyebut pasukan evakuasi dan bantuan logsitik masih sulit dikerahkan ke dua kecamatan yang terisolasi karena longsor, yaitu Pagar Jati dan Merigi Sakti.",no,no,no,no
Kawasan Gunung Bungkuk yang berada di sekitar dua kecamatan itu tercatat sebagai kawasan longsor dengan jumlah korban meninggal terbanyak.,no,no,no,no
"Badan Metetorologi, Klimatologi, dan Geofisika memperkirakan curah hujan tinggi masih akan melanda Bengkulu dan beberapa daerah lain seperti Aceh, Sumatera Selatan, Sulawesi Utara, Papua, dan Papua Barat.",no,no,no,yes
"Masyarakat diimbau untuk tetap waspada, karena banjir dan gerakan tanah berpotensi terjadi lagi pada Mei mendatang.",no,no,no,no
