dokumen,0.05,0.1,0.2,0.3
Sejumlah kabupaten dan kota di Sumatera Barat dilanda banjir seiring hujan lebat yang terjadi sejak Kamis (11/10).,no,no,no,no
Bencana alam ini dilaporkan menyebabkan enam orang tewas dan ratusan rumah terendam air dengan kedalaman hingga satu meter.,no,no,no,no
"Merujuk data Pusat Pengendalian Operasi Penanggulangan Bencana (Pusdalops) BPBD Sumbar, tiga korban tewas berada di Padang Pariaman, sementara tiga lainnya di Tanah Datar.",no,no,yes,yes
"Adapun, daerah terdampak banjir adalah Tanah Datar, Limapuluh Kota, Pesisir Selatan, Pasaman, Pasaman Barat, Padang Pariaman, Agam, Mentawai Sijunjung, Solok dan Sawahlunto.",no,no,no,yes
"Kepala BPBD Sumbar, Erman Rahman, menyebut hujan lebat tak hanya memicu banjir, tapi juga longsor di sejumlah titik, satu di antaranya di Pessel, Bukit Buah Palo.",no,no,yes,yes
"""Hingga saat ini kami masih mendata korban banjir, tanah longsor dan jembatan putus,"" ujar Rahman, Jumat (12/10), kepada wartawan di Padang, Agusmanto, yang melapor untuk BBC News Indonesia.",yes,yes,yes,yes
Banjir yang terjadi membuat sebuah jembatan sepanjang delapan meter menuju Benteng Gunung Tak Jadi amblas.,no,no,no,yes
"Jembatan itu berada di Kecamatan Bonjol, Kabupaten Pasaman.",no,no,no,no
"Camat Bonjol, Yohanis, menyebut jembatan tersebut tidak bisa dipakai lagi.",no,no,no,no
"Ia berkata, banjir juga membuat jalan di sekitar jembatan rusak.",no,no,no,no
"""Jembatan ini salah satu akses bagi pengendara sepeda motor dari arah pasar Bonjol menuju benteng dan perkapungan warga,"" kata Yohanis.",no,no,yes,yes
Yohanis menyebut jembatan itu berpotensi hanyut seiring banjir yang tak kunjung surut.,no,no,no,no
"""Kami mengimbau warga Bonjol dan sekitarnya tidak melewati jembatan tersebut,"" ucapnya.",no,no,no,no
"Jalan lintas Sumatera di Kelurahan Berangin, Bonjol, juga dilaporkan sempat terputus akibat longsor dan pohon kayu yang bertumbangan ke jalan.",no,yes,yes,yes
Polisi kini menerapkan sistem buka-tutup di jalan itu.,no,no,no,no
"Kepala BPBD Pasaman, Masfet Kenedi menuturkan, material longsor yang menimbun jalan di Berangin mencapai lebih dari setengah meter.",yes,yes,yes,yes
Pohon kayu sepanjang 18 meter juga tumbang ke jalan.,no,no,no,no
"Sebuah mobil ambulans dilaporkan terjebak material longsor di Berangin, di jalur yang menghubungkan Bukittinggi dengan Sumatera Utara.",no,yes,yes,yes
"Mobil itu dalam posisi menanjak, lantas terjebak material longsor dari arah kiri.",no,no,no,no
"Kepala Dinas Kesehatan Pasaman, Amdarisman, mengatakan, semua penumpang di mobil tersebut selamat, termasuk ibu hamil yang ada di dalam ambulans tersebut.",no,no,no,no
"""Tidak ada korban jiwa.",no,no,no,no
"Pasien (ibu hamil) sudah dirujuk ke RSUD Pasaman,"" ujarnya.",no,no,no,no
"Longsor yang terjadi Ranah Batu, Jorong Piubuah, Nagari Tanjung Bonai, Kecamatan Lintau Buo Utara, Tanah Datar terjadi Kamis kemarin, sekitar pukul 18.30 WIB.",no,no,no,yes
"Dua orang dilaporkan tewas tertimbun material longsor, sementara dua orang lainnya lainnya hingga kini masih dalam pencarian.",no,no,no,no
"Wali Nagari Jorong Piubuah, Haris, menyebut longsor menghancurkan setengah kampungnya.",no,no,no,no
"Harie berkata, longsor terjadi secara cepat sehingga para sejumlah warga tak sempat menyelamatkan diri.",no,no,no,no
Longsor berasal dari Gunung Sago yang kemudian dengan cepat menyapu perkampungan di lembahnya.,no,no,no,no
"""Ada dua korban, salah satunya ditemukan 2 kilometer dari rumahnya.",no,no,no,no
"Korban ini sedang hamil,"" kata Haris.",no,no,no,no
"Kerusakan di lembah Gunung Sago itu mencapai panjang dua kilometer dan sementara kedalaman lumpur berkisar 1,5 meter.",no,no,no,no
"""Total korban terdampak sebanyak 26 jiwa, rata-rata terluka dan sudah dievakuasi ke rumah sakit,"" ujar Haris.",no,no,no,no
