dokumen,0.05,0.1,0.2,0.3
"Sejumlah sekolah di Kota Palembang, Sumatera Selatan, memutuskan memulangkan siswa-siswa mereka lantaran kabut asap semakin tebal menyelimuti kota tersebut pada Senin (14/10) pagi.",yes,yes,yes,yes
"Kepala SMP Negeri 7 Palembang, Siti Zubaida, mengatakan keputusan pemulangan ditempuh sesuai dengan instruksi Dinas Pendidikan Kota Palembang.",no,no,no,no
"""Pagi ini kami memulangkan siswa karena melihat kabut asap yang tebal dan berdampak buruk terhadap siswa, oleh karenanya atas instruksi Kadiknas Kota Palembang melalui pesan WA Grup meminta siswa dipulangkan dan belajar di rumah masing-masing saja,"" jelas Siti kepada radio Elshinta.",yes,yes,yes,yes
"Hal ini diamini Kepala Dinas Pendidikan Kota Palembang, Ahmad Zulinto, yang menyampaikan surat edaran ke semua sekolah.",no,no,no,no
"""Hari ini seluruh TK hingga SMP negeri dan swasta sederajat diliburkan, untuk besok dan seterusnya akan diberikan edaran lebih lanjut,"" kata Ahmad Zulinto kepada kantor berita Antara.",no,no,no,no
"Menurutnya, kalau kualitas udara Palembang masih buruk dalam beberapa hari ke depan, kegiatan belajar mengajar di tingkat TK sampai SMP akan tetap diliburkan.",no,yes,yes,yes
"Akan tetapi, sebagaimana dipaparkan Kepala Dinas Pendidikan Sumatera Selatan, Widodo, kegiatan belajar mengajar di daerah yang tidak terdampak kabut asap tetap berlangsung.",no,yes,yes,yes
"""Daerah yang tidak terdampak kabut asap tetap normal tetap belajar, untuk daerah yang terkategori sedang tetap belajar namun jam masuk sekolah diundur dan kami himbau memakai masker, bagi daerah terkategori parah maka siswa diberikan tugas dengan memaksimalkan kelas daring,"" kata Widodo kepada Antara.",no,no,no,no
"Hal itu belakangan dibenarkan Agus Wibowo, selaku Kepala Pusat Data, Informasi dan Humas Badan Nasional Penanggulangan Bencana (BNPB).",no,no,no,no
"""Melalui pesan digital, Kepala Dinas Pendidikan Kota Palembang menginstruksikan kegiatan belajar mengajar di tingkat paud, TK, SD dan SMP negeri dan swasta diliburkan hingga batas yang belum ditentukan,"" sebut Agus dalam siaran pers.",no,no,no,no
"Sejumlah warga Palembang, Sumatera Selatan, mengeluhkan kabut asap pada Senin (14/10) tergolong parah.",no,no,yes,yes
Bahkan jarak pandang hanya 10 meter.,no,no,yes,yes
"Amelia, warga Kelurahan Bukit Sangkal, Kecamatan Kalidoni, mengatakan dirinya terkejut ketika akan ke luar rumah sekitar pukul 06.30 WIB untuk mengantar anaknya ke sekolah mendapati kabut sedemikian pekat.",no,no,no,no
"""Saya terkejut, kenapa gelap ini.",no,no,no,no
"Kemarin-kemarin ada kabut asap, tapi tidak separah hari ini,"" kata dia sebagaimana dikutip Antara.",no,no,no,no
"Keluhan atas kondisi ini juga diungkapkan Tina, seorang guru senam di sebuah tempat kebugaran.",no,no,no,no
"""Saya selalu ke luar rumah pukul 06.00 WIB karena ada jadwal senam, sempat terkejut juga karena jarak pandang hanya 10 meter.",no,no,no,no
"Sangat terasa, apalagi saya pakai sepeda motor,"" kata dia.",no,no,no,no
