dokumen,0.05,0.1,0.2,0.3
"Hujan deras mengancam Jakarta dan sekitarnya, Jawa Barat paling rentan tanah longsor.",no,no,no,no
"Data Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG) mencatat, 80,1% dari 558 kecamatan di Jawa Barat tergolong rawan bencana tanah longsor.",yes,yes,yes,yes
Longsor diprediksi bisa menelan banyak korban karena pemerintah daerah dinilai gagal mengelola lereng yang makin sesak pemukiman.,no,no,no,no
"""Jawa Barat penduduknya lebih dari 40 juta jiwa, mereka tinggal di perbukitan, dan hingga saat ini karena kebutuhan pemukiman, kami kutip pemerintah lalai,"" ujar Kepala Mitigasi Gerakan Tanah PVMBG, Agus Budianto, Rabu (7/2).",no,yes,yes,yes
"Kepada BBC Indonesia, Agus menyebut aktivitas manusia berpengaruh besar pada longsor di kawasan lereng, lembah sungai, dan dataran tinggi lainnya.",no,no,no,yes
"Agus berkata, aktivitas manusia itulah yang membedakan dampak bencana longsor di Jawa Barat dan daerah lain yang memiliki tanah gembur atau lapuk serta mudah menyerap air.",yes,yes,yes,yes
"""Masyarakat mau tidak mau terus tumbuh di wilayah ini.",no,no,no,no
"Lereng tidak stabil karena untuk perumahan,"" kata Agus.",no,no,no,no
"Di luar faktor manusia, secara geologi, kata Agus, Jawa Barat berada di atas tanah yang mudah menyerap air dan gembur.",no,yes,yes,yes
"Ia menuturkan, faktor itu berkaitan pula dengan kondisi geografis Jabar.",no,no,no,no
"""Ini daerah pegunungan, daerah gunung api, kalau melapuk sangat mudah pecah.",no,no,no,no
"Seumpamanya hujan, tanah akan menyerap air sehingga licin dan gembur,"" kata Agus.",no,no,no,no
Gubernur Jawa Barat Ahmad Heryawan alias Aher tidak memungkiri data PVMBG.,no,no,no,no
"Usai longsor di Kecamatan Cijeruk, Bogor, yang setidaknya menyebabkan lima warga meninggal dunia awal pekan ini, Aher mengklaim pihaknya sudah dan akan terus menormalisasi hutan di kawasan Puncak.",no,no,no,no
"""Kami setiap tahun mencegah dengan cara menanam pohon, dengan biopori, sumber resapan, untuk menghijaukan kawasan-kawasan gundul termasuk daerah aliran Sungai Ciliwung,"" kata Aher kepada pers di Jakarta, Rabu siang (07/02).",no,no,no,no
"Dalam catatan PVMBG, wilayah Jabar yang paling rawan longsor adalah Sukabumi (44 kecamatan), Garut (42), Bogor (35), dan Cianjur (31).",no,no,yes,yes
"Adapun, wilayah Jabar yang memiliki potensi longsor paling rendah adalah Bekasi (2 kecamatan), Indramayu (2) dan Cirebon (1).",no,no,no,no
"Merujuk data PVMBG per Februari 2018, Pulau Jawa merupakan wilayah dengan tingkat kerentanan longsor paling tinggi.",no,no,no,yes
Persentase potensi longsor pada empat dari enam provinsi di pulau ini lebih dari 50%.,no,no,no,no
"Berada satu peringkat di bawah Jabar, 78,2% kecamatan di Jawa Tengah berpotensi longsor dalam kategori menengah-tinggi.",no,no,no,yes
"Berturut-turut di peringkat setelahnya adalah Daerah Istimewa Yogyakarta (61,5%), Jawa Timur (57,9%), DKI Jakarta (22,7%), dan Banten (20%).",no,no,no,no
Agus Budianto mengatakan PVMBG menyediakan peta kerawanan tanah bergerak agar dampak longsor dapat dinihilkan.,no,no,no,yes
Salah satu peringatan yang diberikan PVMBG adalah memindahkan drainase atau arus air dari dataran tinggi yang menuju ke pemukiman penduduk.,no,no,no,no
"""Gerakan tanah tidak bisa 100% dicegah, tapi jatuhnya korban dapat diminimalisir.",no,no,no,no
"""Vegetasi harus diselesaikan dan air tidak mengalir ke lereng, melainkan ke tempat landai.",no,no,no,no
"Masyarakat harus melaporkan kalau air yang meluncur terus membesar,"" kata Agus.",no,no,no,no
"Dalam data PVMBG, Papua dan Papua Barat tergolong provinsi dengan jumlah kecamatan terbanyak yang rentan longsor.",no,no,yes,yes
"Di Papua, lima kabupaten, yaitu Jaya Wijaya, Lanny Jaya, Pegunungan Bintang, Tolikara, dan Yahukimo, masuk kategori rawan longsor tertinggi.",no,no,no,no
"Daerah tadi serupa dengan Fak-Fak, Sorong, Pegunungan Arfak, dan Teluk Bintuni di Papua Barat.",no,no,no,no
"Sementara di Sulawesi Selatan, tingkat kerawanan yang sama ada di Tana Toraja dan Toraja Utara yang juga berada di perbukitan.",no,no,no,no
"Agus Budianto berkata, meski secara geologi daerah-daerah itu rentan longsor, terutama saat curah hujan sedang tinggi, aktivitas manusia yang minim dapat meminimalisir dampak bencana alam.",no,no,yes,yes
"""Papua memang ada perbedaan dari tata guna lahan, tapi kalau komponen geologi--perbukitan, material, dan drainase--potensi longsornya sama,"" tuturnya.",no,no,no,no
"Sejak awal tahun 2018, sejumlah bencana longsor telah terjadi di berbagai daerah.",no,no,no,no
"Januari lalu, longsor dilaporkan melanda Banjarnegara, Wonogiri, hingga Magelang.",no,no,no,no
"Sementara sejak akhir pekan lalu, longsor menerjang Kudus, Jepara, dan Bogor.",no,no,no,no
