dokumen,0.05,0.1,0.2,0.3
"Thailand dilanda Pabuk, badai terburuk dalam puluhan tahun.",no,no,no,no
"Angin dan hujan badai tropis Pabuk yang menghantam Thailand selatan, diperkirakan badai terburuk di kawasan itu dalam 30 tahun terakhir.",yes,yes,yes,yes
"Badai itu melanda daratan Jumat (04/01) pada pukul 12:45 waktu setempat, menyebabkan pohon tumbang mengenai perumahan di provinsi Nakhon Si Thammarat.",no,yes,yes,yes
"Badai kemudian bergerak ke Thailand selatan, mengenai daerah yang digemari para wisatawan.",no,no,no,yes
"Ribuan orang telah meninggalkan kepulauan Koh Samui, Koh Tao dan Koh Phangan.",no,no,yes,yes
Paling tidak dua bandara terdekat di daratan utama telah ditutup dan layanan feri dihentikan sementara.,no,no,no,no
"Para wisawatan yang terjebak di Koh Samui mengatakan kepada BBC bahwa pulau tersebut mengalami hujan deras, angin kencang dan ombak besar, serta mati listrik.",no,no,yes,yes
Penduduk juga mengatakan mereka diminta tetap di dalam rumah setelah pukul 16:00 sampai Sabtu pagi.,no,no,no,no
"""Saya berbicara dengan warga asing semalam dan mereka tidak ketakutan, mereka memahami keadaaan,"" kata Krikkrai Songthanee, kepala daerah Koh Phangan, yang terkenal sebagai tempat diadakannya pesta meriah, lapor kantor berita AFP.",no,no,no,no
Dia mengatakan terdapat 10.000 turis yang masih berada di pulau itu.,no,no,no,no
"Pusat badai tropis melewati Nakhon Si Thammarat, ke arah selatan dan diperkirakan akan melemah di atas provinsi Surat Thani.",no,no,no,yes
"""Tetapi semua kepulauan wisata di Teluk Thailand termasuk Koh Samui, Koh Phangan, Koh Tao akan terkena pengaruhnya karena badai Pabuk sangat kuat,"" kata pimpinan kantor metereologi Phuwieng Prakhammintara.",yes,yes,yes,yes
"Seorang nelayan dilaporkan meninggal pada hari Jumat (04/01) pagi di provinsi Pattani, dekat perbatasan dengan Malaysia karena kapalnya ditelan ombak.",no,no,no,no
Kementerian Luar Negeri Inggris meminta warganya untuk hanya melakukan perjalanan jika memang diperlukan.,no,no,no,no
"Daniel Moroz, dari Bristol, Inggris mengatakan keadaan di Koh Phangan ""cukup tenang"".",no,no,no,no
"""Saat ini yang terjadi hanya hujan terus menerus tetapi saya diberitahu keadaan terburuk akan terjadi.",no,no,no,no
"Kami diberitahu tempat kami aman dan saya pikir besok sore keadaan sudah normal,"" katanya.",no,no,no,no
"""Yang aneh adalah para penduduk setempat tidak terganggu sama sekali karena saya berpikir kepulauan lain mengalami keadaan yang lebih buruk dari pada di sini.""",no,no,no,no
"Meskipun badai hal yang biasa terjadi di Teluk Thailand pada saat ini, Pabuk dipandang yang terburuk dalam puluhan tahun.",no,no,no,yes
"Di masa lalu, badai tropis menewaskan ratusan orang tetapi pemerintah mengatakan mereka telah mempersiapkan diri dan dapat mengatasi badai.",no,no,no,no
Badai besar yang terakhir kali terjadi adalah Topan Gay pada tahun 1989 dan menewaskan ratusan orang.,no,no,no,no
"Badan metereologi Thailand mengatakan badai akan terjadi di bagian selatan dalam beberapa hari ke depan dan ""kemungkinan akan terjadi curah hujan lebat yang meluas di sebagian besar wilayah itu"".",no,no,no,no
"""Penduduk harus mengetahui bahwa keadaan ekstrem ini dapat menyebabkan banjir bandang dan kerusakan hutan,"" demikian peringatan pemerintah.",no,no,no,no
"Badai akan melemah setelah melewati Teluk Thailand ke Laut Andaman, tetapi para wisatawan juga diperingatkan untuk bersiap-siap menghadapi hujan deras, laut bergolak dan longsor.",no,no,yes,yes
"Di Thasala, Nakhon Si Thammarat, ribuan pengungsi harus dipindahkan ke aula universitas karena tempat perlindungan pemerintah dirusak badai.",no,no,no,no
"Pada daerah di dekatnya, Kanom, seorang pengusaha mengatakan kepada BBC bahwa hotelnya yang berkapasitas 1.000 kamar ditutup untuk sementara.",no,no,no,no
Tetapi dia optimistis wisatawan akan kembali begitu badai berakhir.,no,no,no,no
