dokumen,0.05,0.1,0.2,0.3
" Korea Utara menyatakan tengah mengalami kekeringan terburuk selama 37 tahun dan telah menyeru kepada rakyatnya untuk ""berperang"" melawan gagal panen.",no,no,no,yes
"Media pemerintah Korut, KCNA, melaporkan curah hujan setinggi 54,4 mm jatuh di seantero negri dalam lima bulan pertama tahun ini.",no,no,no,no
Angka itu adalah yang terendah sejak 1982.,no,no,no,no
"Harian terbesar Korut, Rodong Sinmun, menyebut ""air diperlukan sekarang"" dan negara tersebut ""berjuang keras"" mencegah kerusakan yang ditimbulkan kekeringan.",no,no,no,no
"""Para pekerja di sektor pertanian…bahu-membahu guna melindungi lahan pertanian secara menyeluruh dari kerusakan musim kering,"" sebut harian itu.",no,no,no,no
Pemaparan tersebut mengemuka sebulan setelah badan Program Pangan Dunia (WFP) dan Organisasi Pertanian dan Pangan (FAO) mengeluarkan laporan bahwa hasil panen Korut pada 2018 menyentuh taraf terendah sejak 2008.,yes,yes,yes,yes
"Laporan menekankan bahwa sebanyak 10 juta orang, yang mencapai 40% dari populasi, ""memerlukan bantuan pangan yang mendesak"".",no,no,no,yes
"Sepanjang tahun ini, menurut laporan tersebut, warga Korut bertahan hidup dengan mengonsumsi 300 gram makanan setiap hari.",no,no,no,no
"Jika tidak akan tindakan yang ditempuh, laporan itu menyebut ""situasinya bisa bertambah parah selama musim kering pada Mei hingga September"".",no,no,no,no
Rangkaian sanksi terhadap Korut ditingkatkan sejak 2006 agar Pyongyang semakin sulit mencari dana untuk program nuklir.,no,no,yes,yes
"Imbasnya, sanksi-sanksi tersebut telah mengurangi ekspor Korut secara signifikan.",no,no,no,no
Belum jelas berapa banyak mata uang asing yang dimiliki pemerintah Korut untuk mengimpor makanan.,no,no,no,no
"""Korea Utara ingin membuat kedengarannya sanksi-sanksi sama dengan kelaparan sehingga AS harus sangat berbelas kasihan dan mencabutnya,"" kata Benjamin Silberstein, editor North Korean Economy Watch dan peneliti dari  Foreign Policy Research Institute, kepada kantor berita Reuters.",no,no,yes,yes
Rangkaian sanksi tidak mencakup bantuan kemanusiaan atau bahkan mencegah Korut mengekspor pangan untuk memberi makan rakyatnya.,no,yes,yes,yes
Hanya ada segelintir kelompok yang dapat mengantar bantuan ke Korut dan laporan-laporan menyebutkan kelompok-kelompok ini menghadapi situasi sulit karena kerumitan yang ditimbulkan rangkaian sanksi.,no,no,yes,yes
"Pada 2017, lembaga kemanusiaan Save the Children hengkang dari Korut karena berbagai sanksi membuat mereka kesulitan beroperasi.",no,no,no,no
"Pada 2017, Korut dilanda kekeringan serius yang menghancurkan panen bahan makanan utama, seperti beras, jagung, kentang, dan kacang kedelai.",no,no,no,no
Belum diketahui secara persis seberapa signifikan dampak kejadian ini.,no,no,no,no
Sejumla laporan saat itu menyebutkan banyak orang kekurangan gizi dan meninggal dunia.,no,no,no,no
"""Sampai sekarang belum benar-benar jelas seberapa buruk keadaannya karena segala sesuatu yang terkait Korea Utara, datanya jarang transparan,"" kata Oliver Hotham dari NK News kepada BBC.",no,no,no,no
"Menurutnya, Korea Utara sangat rentan jika bencana alam terjadi karena teknologi pertaniannya ketinggalan zaman dan masalah kesehatan publik merundung masyarakat.",no,no,no,no
"Jika data resmi akurat, menurut Hotham, Korut perlu mengimpor makanan sebanyak 1,5 juta ton guna melengkapi kekurangan produksi.",no,no,no,no
Pada 1990-an ratusan ribu orang Korut disebut-sebut meninggal dunia akibat bencana kelaparan.,no,no,no,no
Hubungan antara Korut dan AS memburuk menyusul gagalnya sejumlah perundingan antara kedua negara.,no,no,no,no
"Pertemuan Pemimpin Korut, Kim Jong-un, dan Presiden AS, Donald Trump, berakhir pada Februari lalu tanpa kesepakatan.",no,no,no,no
"Saat itu AS mendesak Korut meninggalkan program nuklir, sedangkan Pyongyang menuntut pencabutan sanksi-sanksi.",yes,yes,yes,yes
"Pekan lalu, AS menyita kapal kargo Korut dengan dalih kapal itu melanggar sanksi-sanksi.",no,no,no,yes
Korut menuntut kapal itu dikembalikan.,no,no,no,no
"Selama beberapa pekan terakhir Korut juga mulai menguji coba senjata lagi, yang dipandang sebagai upaya meningkatkan tekanan kepada AS.",no,no,no,no
